,reaction_id,reaction_type,product_id,reactant_ids,product_smiles,reactant_smiles,product_mol,reactant_mols,reaction_smiles,participating_compounds
52096,52097,Williamson_ether_synthesis,52926,"{25536, 31674}",CCN(CCC#N)C(=O)COc1ccc(C)c(NC(=O)CSC)c1,"{'CCN(CCC#N)C(=O)CCl', 'CSCC(=O)Nc1cc(O)ccc1C'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0f5900>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb0856630>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb08565e0>}",CCN(CCC#N)C(=O)CCl.CSCC(=O)Nc1cc(O)ccc1C>>CCN(CCC#N)C(=O)COc1ccc(C)c(NC(=O)CSC)c1,"{'CCN(CCC#N)C(=O)CCl', 'CCN(CCC#N)C(=O)COc1ccc(C)c(NC(=O)CSC)c1', 'CSCC(=O)Nc1cc(O)ccc1C'}"
52099,52100,Williamson_ether_synthesis,52929,"{25592, 35795}",CSCC(=O)Nc1ccc(C)c(OCC(=O)N2CCC(C)CC2)c1,"{'CC1CCN(C(=O)CCl)CC1', 'CSCC(=O)Nc1ccc(C)c(O)c1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0f59f0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb0856810>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb08567c0>}",CC1CCN(C(=O)CCl)CC1.CSCC(=O)Nc1ccc(C)c(O)c1>>CSCC(=O)Nc1ccc(C)c(OCC(=O)N2CCC(C)CC2)c1,"{'CC1CCN(C(=O)CCl)CC1', 'CSCC(=O)Nc1ccc(C)c(O)c1', 'CSCC(=O)Nc1ccc(C)c(OCC(=O)N2CCC(C)CC2)c1'}"
52134,52135,Williamson_ether_synthesis,52964,"{25560, 48601}",CSCC(=O)Nc1cccc(OCC(=O)N2CCNC(=O)C2)c1C,"{'CSCC(=O)Nc1cccc(O)c1C', 'O=C1CN(C(=O)CCl)CCN1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0fc540>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb0861e00>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb0861e50>}",CSCC(=O)Nc1cccc(O)c1C.O=C1CN(C(=O)CCl)CCN1>>CSCC(=O)Nc1cccc(OCC(=O)N2CCNC(=O)C2)c1C,"{'CSCC(=O)Nc1cccc(O)c1C', 'O=C1CN(C(=O)CCl)CCN1', 'CSCC(=O)Nc1cccc(OCC(=O)N2CCNC(=O)C2)c1C'}"
52135,52136,Williamson_ether_synthesis,52965,"{48601, 21234}",CSCC(=O)Nc1cccc(OC(C)C(=O)N2CCOCC2)c1C,"{'CSCC(=O)Nc1cccc(O)c1C', 'CC(Cl)C(=O)N1CCOCC1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0fc590>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb0861ea0>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb0861ef0>}",CSCC(=O)Nc1cccc(O)c1C.CC(Cl)C(=O)N1CCOCC1>>CSCC(=O)Nc1cccc(OC(C)C(=O)N2CCOCC2)c1C,"{'CSCC(=O)Nc1cccc(O)c1C', 'CSCC(=O)Nc1cccc(OC(C)C(=O)N2CCOCC2)c1C', 'CC(Cl)C(=O)N1CCOCC1'}"
52139,52140,Williamson_ether_synthesis,52969,"{25592, 48601}",CSCC(=O)Nc1cccc(OCC(=O)N2CCC(C)CC2)c1C,"{'CSCC(=O)Nc1cccc(O)c1C', 'CC1CCN(C(=O)CCl)CC1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0fc6d0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb0868180>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb08681d0>}",CSCC(=O)Nc1cccc(O)c1C.CC1CCN(C(=O)CCl)CC1>>CSCC(=O)Nc1cccc(OCC(=O)N2CCC(C)CC2)c1C,"{'CSCC(=O)Nc1cccc(O)c1C', 'CSCC(=O)Nc1cccc(OCC(=O)N2CCC(C)CC2)c1C', 'CC1CCN(C(=O)CCl)CC1'}"
52142,52143,Williamson_ether_synthesis,52972,"{48601, 25594}",CSCC(=O)Nc1cccc(OCC(=O)N2CCCCC2C)c1C,"{'CC1CCCCN1C(=O)CCl', 'CSCC(=O)Nc1cccc(O)c1C'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0fc7c0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb08683b0>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb0868360>}",CC1CCCCN1C(=O)CCl.CSCC(=O)Nc1cccc(O)c1C>>CSCC(=O)Nc1cccc(OCC(=O)N2CCCCC2C)c1C,"{'CC1CCCCN1C(=O)CCl', 'CSCC(=O)Nc1cccc(O)c1C', 'CSCC(=O)Nc1cccc(OCC(=O)N2CCCCC2C)c1C'}"
52146,52147,Williamson_ether_synthesis,52976,"{25568, 48601}",CSCC(=O)Nc1cccc(OC(C)C(=O)N2CCNC2=O)c1C,"{'CSCC(=O)Nc1cccc(O)c1C', 'CC(Cl)C(=O)N1CCNC1=O'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0fc900>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb0868630>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb08685e0>}",CSCC(=O)Nc1cccc(O)c1C.CC(Cl)C(=O)N1CCNC1=O>>CSCC(=O)Nc1cccc(OC(C)C(=O)N2CCNC2=O)c1C,"{'CSCC(=O)Nc1cccc(O)c1C', 'CSCC(=O)Nc1cccc(OC(C)C(=O)N2CCNC2=O)c1C', 'CC(Cl)C(=O)N1CCNC1=O'}"
52151,52152,Williamson_ether_synthesis,52981,"{25584, 48601}",CSCC(=O)Nc1cccc(OCC(=O)N(C)C(C)(C)C#N)c1C,"{'CN(C(=O)CCl)C(C)(C)C#N', 'CSCC(=O)Nc1cccc(O)c1C'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e0fca90>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb0868900>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb0868950>}",CN(C(=O)CCl)C(C)(C)C#N.CSCC(=O)Nc1cccc(O)c1C>>CSCC(=O)Nc1cccc(OCC(=O)N(C)C(C)(C)C#N)c1C,"{'CN(C(=O)CCl)C(C)(C)C#N', 'CSCC(=O)Nc1cccc(OCC(=O)N(C)C(C)(C)C#N)c1C', 'CSCC(=O)Nc1cccc(O)c1C'}"
52183,52184,Williamson_ether_synthesis,53013,"{25594, 35795}",CSCC(=O)Nc1ccc(C)c(OCC(=O)N2CCCCC2C)c1,"{'CC1CCCCN1C(=O)CCl', 'CSCC(=O)Nc1ccc(C)c(O)c1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e1014f0>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb0871db0>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb0871d60>}",CC1CCCCN1C(=O)CCl.CSCC(=O)Nc1ccc(C)c(O)c1>>CSCC(=O)Nc1ccc(C)c(OCC(=O)N2CCCCC2C)c1,"{'CC1CCCCN1C(=O)CCl', 'CSCC(=O)Nc1ccc(C)c(O)c1', 'CSCC(=O)Nc1ccc(C)c(OCC(=O)N2CCCCC2C)c1'}"
52268,52269,Williamson_ether_synthesis,53098,"{25592, 48571}",CSCC(=O)N(C)c1cccc(OCC(=O)N2CCC(C)CC2)c1,"{'CC1CCN(C(=O)CCl)CC1', 'CSCC(=O)N(C)c1cccc(O)c1'}",<rdkit.Chem.rdchem.Mol object at 0x7f6f0e10d040>,"{<rdkit.Chem.rdchem.Mol object at 0x7f6eb0814400>, <rdkit.Chem.rdchem.Mol object at 0x7f6eb0814450>}",CC1CCN(C(=O)CCl)CC1.CSCC(=O)N(C)c1cccc(O)c1>>CSCC(=O)N(C)c1cccc(OCC(=O)N2CCC(C)CC2)c1,"{'CC1CCN(C(=O)CCl)CC1', 'CSCC(=O)N(C)c1cccc(O)c1', 'CSCC(=O)N(C)c1cccc(OCC(=O)N2CCC(C)CC2)c1'}"
