Code,Long code,Compound code,Smiles,ConformerSites,CanonSites,CrystalformSites,Quatassemblies,Crystalforms,[Series] Taggy McTagface
A71x0211b,A71EV2A-x0211_A_147_A71EV2A-x0541+A+147+1,Z385450668,NS(=O)(=O)c1ccccc1OC(F)F,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0211c,A71EV2A-x0211_A_301_A71EV2A-x0211+A+301+1,Z385450668,NS(=O)(=O)c1ccccc1OC(F)F,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,True
A71x0228a,A71EV2A-x0228_A_147_A71EV2A-x0528+A+147+1,Z425757818,CS(=O)(=O)N1CCC(O)CC1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0229a,A71EV2A-x0229_A_147_A71EV2A-x0528+A+147+1,Z426041412,CS(=O)(=O)Nc1ccc(CN)cc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0229b,A71EV2A-x0229_A_201_A71EV2A-x0541+A+147+1,Z426041412,CS(=O)(=O)Nc1ccc(CN)cc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0239a,A71EV2A-x0239_A_147_A71EV2A-x0486+A+147+1,Z438067480,CCC(=O)NCc1nnc2n1CCCC2,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0332a,A71EV2A-x0332_A_147_A71EV2A-x0541+A+147+1,Z45527714,CNS(=O)(=O)c1ccccc1Cl,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0333a,A71EV2A-x0333_A_201_A71EV2A-x0528+A+201+1,Z45617795,CS(=O)(=O)NCCc1ccccc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0341a,A71EV2A-x0341_A_147_A71EV2A-x0395+A+148+1,Z50145861,CC1=NN(c2ccccc2)C(=O)C1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0351a,A71EV2A-x0351_A_301_A71EV2A-x0528+A+147+1,Z53860899,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0351b,A71EV2A-x0351_A_302_A71EV2A-x0528+A+201+1,Z53860899,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0351c,A71EV2A-x0351_A_201_A71EV2A-x0432+A+147+1,Z53860899,CCS(=O)(=O)NCc1ccc2c(c1)OCO2,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0354a,A71EV2A-x0354_A_147_A71EV2A-x0541+A+147+1,Z54615640,C[C@]1(NC(=O)C2CC2)CCS(=O)(=O)C1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
A71x0359a,A71EV2A-x0359_A_147_A71EV2A-x0469+A+147+1,Z54750053,CN(C)Cc1ccc(C#N)cc1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,True
A71x0365a,A71EV2A-x0365_A_201_A71EV2A-x0528+A+147+1,Z558511008,Cn1ccc(NCc2ccccc2)n1,10a - A71EV2A-x0528,11 - A201,F1i - A71_2A_open - A71EV2A-x0469/A/147/1,A1 - monomer,F1 - A71_2A_open,False
